"Name","Definition","Category / Acronym","Has positive effects on","Has negative effects on"
"Accessibility","The degree to which the software is usable by people with disabilities, often through assistive technologies.","","Usability; Availability; Localizability; Understandability","Complexity; Securability"
"Accountability","The degree to which the software keeps accurate records and has the ability to explain its operations.","","Credibility; Integrity; Auditability; Traceability; Reliability; Correctness","Autonomy; Flexibility; Privacy; Complexity; Affordability"
"Accuracy","The capability of the software to retrieve and rank data accurately according to given specifications.","","",""
"Adaptability","The degree to which the software adapts its behavior based on information about its users and environment.","","",""
"Administrability","The extent to which users with elevated permissions can effectively configure the software.","","",""
"Affordability","The cost of the software as it relates to what the purchaser can afford.","","",""
"Atomicity","In databases, the assurance that transactions are treated as single units that either fully succeed or fail.","ACID","",""
"Auditability","The degree to which the software logs actions and allows authorized inspection of these logs.","","",""
"Autonomy","The degree to which service-oriented software operates independently from its execution environment.","","",""
"Availability","The degree to which the software is ready and available for use.","RASUI; RASR; RAMS","",""
"Capabilities","The range of actions, tasks, or functions that the software can perform.","","",""
"Compatibility","The degree to which the software can work effectively with other systems or software.","","",""
"Complexity","The degree of difficulty to understand, modify, or maintain the software.","","",""
"Composability","The degree to which the software's components can be assembled and reassembled.","","",""
"Confidentiality","The degree to which the software protects sensitive information from unauthorized access.","","",""
"Configurability","The extent to which settings and features within the software can be customized by the user.","","",""
"Consistency","The degree to which the software behaves and presents itself uniformly across different scenarios.","ACID","",""
"Correctness","The extent to which the software performs its functions without error.","","",""
"Credibility","The degree to which the software is reliable and induces trust.","","",""
"Customizability","The degree to which the software allows the user to tailor features to their specific needs.","","",""
"Debuggability","The ease with which bugs can be discovered and fixed within the software.","agility","",""
"Degradability","The degree to which the software can gracefully reduce its functionality in the face of system constraints.","","",""
"Demonstrability","The ease with which the software's functions and capabilities can be demonstrated to others.","","",""
"Dependability","The extent to which the software can be relied upon to perform its functions accurately and consistently.","","Availability; Reliability; Safety; Integrity; Maintainability",""
"Deployability","The degree to which the software can be easily installed, configured, and put into operation.","","",""
"Determinability","The extent to which the software's behavior can be predictably determined from its inputs and conditions.","","",""
"Discoverability","The degree to which the software's features and functionalities are easily discoverable by users.","","",""
"Distributability","The extent to which the software can be distributed across multiple platforms and environments.","","",""
"Durability","The degree to which the software can endure stress and continue to function over extended periods of time.","ACID","",""
"Effectiveness","The ability of the software to achieve its goals and produce desired outcomes.","","",""
"Efficiency","The degree to which the software performs its functions without wasting resources.","","",""
"Evolvability","The extent to which the software can adapt to future changes in its environment or requirements.","","",""
"Extensibility","The degree to which new features or functionalities can be added to the existing software.","agility","",""
"Failure Transparency","The extent to which the software reveals or conceals its failures and the impact of those failures.","","",""
"Fault-Tolerance","The degree to which the software continues to function in the presence of errors or failures.","","",""
"Fidelity","The degree to which the software accurately represents or simulates real-world conditions or data.","","",""
"Flexibility","The ease with which the software can adapt to different tasks or scenarios.","","",""
"Functionality","The range and capabilities of tasks that the software can perform.","FURPS","",""
"Inspectability","The degree to which the software’s internal workings can be examined for debugging or analysis.","","",""
"Installability","The ease with which the software can be installed and set up for use.","RASUI","",""
"Integrity","The degree to which the software prevents unauthorized access and maintains the accuracy of data.","ACID","Securability; Survivability",""
"Interchangeability","The ease with which components within the software can be exchanged.","","",""
"Interoperability","The degree to which the software can interact with other systems or software components.","","",""
"Learnability","The ease with which new users can understand and use the software.","","",""
"Localizability","The ability of the software to be adapted for different languages, regions, and cultures.","","",""
"Maintainability","The ease with which the software can be modified, updated, or corrected.","RAMS","",""
"Manageability","The extent to which the software can be efficiently managed and monitored.","","",""
"Mobility","The ability of the software to operate effectively on different devices or environments.","","",""
"Modifiability","The degree to which the software can be easily changed to add new features or fix issues.","","",""
"Modularity","The extent to which the software is composed of independent, interchangeable modules.","","",""
"Observability","The degree to which internal states of the software can be observed through outputs.","","",""
"Operability","The ease with which the software can be kept in a functioning state.","","",""
"Orthogonality","The independence between different features or components of the software.","","",""
"Performance","The effectiveness of the software in terms of speed, efficiency, and resource usage.","FURPS","",""
"Portability","The ease with which the software can be moved from one environment to another.","agility","",""
"Precision","The accuracy with which the software performs its calculations or processes.","","",""
"Predictability","The degree to which the software's behavior can be anticipated.","","",""
"Privacy","The degree to which the software ensures that unauthorized users cannot access, modify, or delete personal information.","","",""
"Producibility","The ease with which the software can be reliably reproduced or replicated.","","",""
"Provability","The extent to which formal methods can be used to prove the software's correctness.","","",""
"Recoverability","The ability of the software to restore its state and functionality after failure.","RASR","",""
"Relevance","The degree to which the software meets the real-world needs of its users.","","",""
"Reliability","The ability of the software to function correctly and consistently.","RASUI; FURPS; RASR; RAMS","",""
"Repeatability","The degree to which the software provides the same output for the same input under the same conditions.","","",""
"Reproducibility","The ability to get the same results consistently across different environments and conditions.","","",""
"Resilience","The ability of the software to adapt and recover from adversity.","","",""
"Responsiveness","The software's ability to quickly respond to user input or system events.","","",""
"Reusability","The extent to which components of the software can be used in different contexts.","","",""
"Robustness","The ability of the software to cope with errors and unexpected conditions.","","",""
"Safety","The degree to which the software avoids causing harm to users or the environment.","RAMS","",""
"Scalability","The software's ability to handle increased loads efficiently.","agility; RASR","",""
"Seamlessness","The degree to which the software integrates its various components without visible gaps or inconsistencies.","","",""
"Securability","The ability of the software to protect against unauthorized access and data breaches.","agility","Confidentiality; Integrity; Availability; Dependability",""
"Self-Sustainability","The software's ability to maintain its operational state without external intervention.","","",""
"Serviceability/Supportability","The ease with which the software can be serviced, maintained, and supported.","RASUI; FURPS","",""
"Simplicity","The degree to which the software is easy to understand and use.","","",""
"Stability","The extent to which the software remains reliable under different conditions.","","",""
"Standards Compliance","The degree to which the software adheres to industry or regulatory standards.","","",""
"Survivability","The ability of the software to endure and recover from catastrophic failures.","","",""
"Sustainability","The ability of the software to endure over time while meeting environmental and social requirements.","","",""
"Tailorability","The ease with which the software can be customized to meet specific user needs.","","",""
"Testability","The degree to which the software can be effectively tested to ensure it meets its requirements.","agility","",""
"Timeliness","The software's ability to perform tasks or provide responses within an acceptable time frame.","","",""
"Traceability","The ability to track changes, data flow, or user actions throughout the software.","","",""
"Transparency","The degree to which the software's actions and decision-making processes are visible to the user.","","",""
"Ubiquity","The extent to which the software is available and functional across various platforms and devices.","","",""
"Understandability","The ease with which users can comprehend the software's functions and use.","agility","",""
"Upgradability","The ease with which new features can be added or existing features can be modified.","","",""
"Usability","The degree to which the software is easy to use and provides a good user experience.","RASUI; FURPS","",""
"Vulnerability","The extent to which the software is susceptible to unauthorized access or exploitation.","","",""
